Pos,Player,Team,Matches,Innings,Not Outs,Runs,HS,Avg,BF,SR,100s,50s,4s,6s,Season
102,Dhawal KulkarniMI,RR,9,8,4,2,7*,4.5,17,52.94,0,0,0,0,2009
103,Morne MorkelRR,CSK,8,2,1,0,8,8,8,100,0,0,1,0,2009
104,Ravichandran AshwinCSK,MI,8,2,1,0,8,8,15,53.33,0,0,1,0,2009
105,Zaheer KhanMI,CSK,8,6,4,3,4*,8,11,72.72,0,0,0,0,2009
106,Muttiah MuralitharanCSK,DEC,8,13,4,2,4,4,8,100,0,0,1,0,2009
107,RP SinghDEC,KKR,8,16,6,2,4,2,17,47.05,0,0,0,0,2009
108,Arindam GhoshKKR,RR,7,2,2,0,7,3.5,8,87.5,0,0,1,0,2009
109,Siddharth ChitnisRR,RR,6,1,1,0,6,6,8,75,0,0,1,0,2009
110,Paul ValthatyRR,KKR,6,2,2,0,5,3,12,50,0,0,1,0,2009
111,Shoaib ShaikhKKR,PBKS,6,2,1,0,6,6,7,85.71,0,0,1,0,2009
112,Shanthakumaran SreesanthPBKS,CSK,5,7,2,2,4*,0,18,27.77,0,0,1,0,2009
113,Lakshmipathy BalajiCSK,RR,4,13,4,1,2*,1.33,10,40,0,0,0,0,2009
114,Kamran KhanRR,KKR,3,5,1,0,3,3,5,60,0,0,0,0,2009
115,Mashrafe MortazaKKR,MI,2,1,1,1,2*,0,2,100,0,0,0,0,2009
116,Mohammad AshrafulMI,CSK,2,1,1,0,2,2,10,20,0,0,0,0,2009
117,Thilan ThusharaCSK,KKR,2,2,2,1,1*,2,7,28.57,0,0,0,0,2009
118,Ashok DindaKKR,PBKS,2,9,2,0,2,1,3,66.66,0,0,0,0,2009
119,Taruwar KohliPBKS,RCB,1,2,2,1,1,1,4,25,0,0,0,0,2009
120,Pankaj SinghRCB,RR,1,3,2,1,1*,1,2,50,0,0,0,0,2009
121,Amit SinghRR,DEC,1,5,2,1,1*,1,3,33.33,0,0,0,0,2009
122,Shoaib AhmedDEC,DEC,1,7,3,1,1*,0.5,6,16.66,0,0,0,0,2009
123,Pragyan OjhaDEC,MI,1,15,4,1,1,0.33,7,14.28,0,0,0,0,2009
124,Luke RonchiMI,PBKS,0,1,1,0,0*,0,2,0,0,0,0,0,2009
125,Tanmay SrivastavaPBKS,MI,0,2,1,1,0*,0,1,0,0,0,0,0,2009
126,Chetanya NandaMI,RCB,0,3,1,0,0*,0,1,0,0,0,0,0,2009
127,Dale SteynRCB,KKR,0,3,2,1,0*,0,3,0,0,0,0,0,2009
