year,stage,venue,date_time,summary,team1,score1,team2,score2
2009,,"MATCH 35
Buffalo Park, East London
MAY, FRI 8 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 7 WICKETS,Delhi Daredevils,118/3,Mumbai Indians,116
2009,,"MATCH 34
SuperSport Park, Centurion
MAY, THU 7 , 8:00 pm IST",,CSK WON BY 12 RUNS (D/L METHOD),Chennai Super Kings,185/3,Punjab Kings,174/3
2009,,"MATCH 33
SuperSport Park, Centurion
MAY, THU 7 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Royal Challengers Bangalore,105,Rajasthan Royals,107/3
2009,,"MATCH 32
SuperSport Park, Centurion
MAY, WED 6 , 8:00 pm IST",,DECCAN CHARGERS WON BY 19 RUNS,Deccan Chargers,145/6,Mumbai Indians,126/8
2009,,"MATCH 31
Kingsmead, Durban
MAY, TUE 5 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 9 WICKETS,Delhi Daredevils,157/1,Kolkata Knight Riders,154/3
2009,,"MATCH 30
Kingsmead, Durban
MAY, TUE 5 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 78 RUNS,Punjab Kings,133/8,Rajasthan Royals,211/4
2009,,"MATCH 29
Buffalo Park, East London
MAY, MON 4 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 78 RUNS,Chennai Super Kings,178/3,Deccan Chargers,100
2009,,"MATCH 28
New Wanderers Stadium, Johannesburg
MAY, SUN 3 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,Royal Challengers Bangalore,150/1,Mumbai Indians,149/4
2009,,"MATCH 27
Port Elizabeth
MAY, SUN 3 , 4:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,154/4,Kolkata Knight Riders,153/3
2009,,"MATCH 26
New Wanderers Stadium, Johannesburg
MAY, SAT 2 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 18 RUNS,Chennai Super Kings,163,Delhi Daredevils,145/8
2009,,"MATCH 25
Port Elizabeth
MAY, SAT 2 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 3 WICKETS,Deccan Chargers,141/5,Rajasthan Royals,142/7
2009,,"MATCH 24
Kingsmead, Durban
MAY, FRI 1 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 8 RUNS,Royal Challengers Bangalore,145/9,Punjab Kings,137/7
2009,,"MATCH 23
Buffalo Park, East London
MAY, FRI 1 , 4:00 pm IST",,MUMBAI INDIANS WON BY 9 RUNS,Kolkata Knight Riders,139/6,Mumbai Indians,148/6
2009,,"MATCH 22
SuperSport Park, Centurion
APR, THU 30 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 38 RUNS,Chennai Super Kings,164/5,Rajasthan Royals,126/9
2009,,"MATCH 21
SuperSport Park, Centurion
APR, THU 30 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Deccan Chargers,148/9,Delhi Daredevils,150/4
2009,,"MATCH 20
Kingsmead, Durban
APR, WED 29 , 8:00 pm IST",,PUNJAB KINGS WON BY 3 RUNS,Punjab Kings,119/8,Mumbai Indians,116/7
2009,,"MATCH 19
Kingsmead, Durban
APR, WED 29 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Royal Challengers Bangalore,143/5,Kolkata Knight Riders,139/6
2009,,"MATCH 18
SuperSport Park, Centurion
APR, TUE 28 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 5 WICKETS,Delhi Daredevils,143/7,Rajasthan Royals,147/5
2009,,"MATCH 17
Port Elizabeth
APR, MON 27 , 8:00 pm IST",,MUMBAI INDIANS WON BY 92 RUNS,Kolkata Knight Riders,95/9,Mumbai Indians,187/6
2009,,"MATCH 16
Kingsmead, Durban
APR, MON 27 , 4:00 pm IST",,DECCAN CHARGERS WON BY 6 WICKETS,Chennai Super Kings,165/6,Deccan Chargers,169/4
2009,,"MATCH 15
Newlands, Cape Town
APR, SUN 26 , 8:00 pm IST",,PUNJAB KINGS WON BY 27 RUNS,Punjab Kings,139/6,Rajasthan Royals,112/7
2009,,"MATCH 14
Port Elizabeth
APR, SUN 26 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Royal Challengers Bangalore,149/7,Delhi Daredevils,150/4
2009,,"MATCH 13
Newlands, Cape Town
APR, SAT 25 , 8:00 pm IST",,MATCH ABANDONED WITHOUT A BALL BOWLED,Chennai Super Kings,,Kolkata Knight Riders,
2009,,"MATCH 12
Kingsmead, Durban
APR, SAT 25 , 4:00 pm IST",,DECCAN CHARGERS WON BY 12 RUNS,Deccan Chargers,168/9,Mumbai Indians,156/7
2009,,"MATCH 11
Kingsmead, Durban
APR, FRI 24 , 8:00 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Royal Challengers Bangalore,168/9,Punjab Kings,173/3
2009,,"MATCH 10
Newlands, Cape Town
APR, THU 23 , 8:00 pm IST",,ROYALS WON THE ONE-OVER ELIMINATOR,Kolkata Knight Riders,150/8,Rajasthan Royals,150/6
2009,,"MATCH 9
Kingsmead, Durban
APR, THU 23 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 9 RUNS,Chennai Super Kings,180/9,Delhi Daredevils,189/5
2009,,"MATCH 8
Newlands, Cape Town
APR, WED 22 , 8:00 pm IST",,DECCAN CHARGERS WON BY 24 RUNS,Royal Challengers Bangalore,160/8,Deccan Chargers,184/6
2009,,"MATCH 7
Kingsmead, Durban
APR, TUE 21 , 8:00 pm IST",,MATCH ABANDONED WITHOUT A BALL BOWLED,Mumbai Indians,,Rajasthan Royals,
2009,,"MATCH 6
Kingsmead, Durban
APR, TUE 21 , 4:00 pm IST",,KKR WON BY 11 RUNS (D/L METHOD),Punjab Kings,158/6,Kolkata Knight Riders,79/1
2009,,"MATCH 5
Port Elizabeth
APR, MON 20 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 92 RUNS,Royal Challengers Bangalore,87,Chennai Super Kings,179/5
2009,,"MATCH 4
Newlands, Cape Town
APR, SUN 19 , 8:00 pm IST",,DECCAN CHARGERS WON BY 8 WICKETS,Deccan Chargers,104/2,Kolkata Knight Riders,101
2009,,"MATCH 3
Newlands, Cape Town
APR, SUN 19 , 4:00 pm IST",,DD WON BY 10 WICKETS (D/L METHOD),Delhi Daredevils,58/0,Punjab Kings,104/7
2009,,"MATCH 2
Newlands, Cape Town
APR, SAT 18 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 75 RUNS,Royal Challengers Bangalore,133/8,Rajasthan Royals,58
2009,,"MATCH 1
Newlands, Cape Town
APR, SAT 18 , 4:00 pm IST",,MUMBAI INDIANS WON BY 19 RUNS,Chennai Super Kings,146/7,Mumbai Indians,165/7
2010,,"MATCH 60
DY Patil Stadium, NAVI MUMBAI
APR, SUN 25 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 22 RUNS,Chennai Super Kings,168/5,Mumbai Indians,146/9
2010,,"MATCH 59
DY Patil Stadium, NAVI MUMBAI
APR, SAT 24 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,Royal Challengers Bangalore,86/1,Deccan Chargers,82
2010,,"MATCH 58
DY Patil Stadium, NAVI MUMBAI
APR, THU 22 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 38 RUNS,Chennai Super Kings,142/7,Deccan Chargers,104
2010,,"MATCH 57
DY Patil Stadium, NAVI MUMBAI
APR, WED 21 , 8:00 pm IST",,MUMBAI INDIANS WON BY 35 RUNS,Royal Challengers Bangalore,149/9,Mumbai Indians,184/5
2010,,"MATCH 56
Eden Gardens, Kolkata
APR, MON 19 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 9 WICKETS,Kolkata Knight Riders,135/1,Mumbai Indians,133/8
2010,,"MATCH 55
Arun Jaitley Stadium, Delhi
APR, SUN 18 , 8:00 pm IST",,DECCAN CHARGERS WON BY 11 RUNS,Delhi Daredevils,134/7,Deccan Chargers,145/7
2010,,"MATCH 54
HPCA Stadium, Dharamsala
APR, SUN 18 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Punjab Kings,192/3,Chennai Super Kings,195/4
2010,,"MATCH 53
Eden Gardens, Kolkata
APR, SAT 17 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Kolkata Knight Riders,133/2,Rajasthan Royals,132/9
2010,,"MATCH 52
M. Chinnaswamy Stadium, Bengaluru
APR, SAT 17 , 4:00 pm IST",,MUMBAI INDIANS WON BY 57 RUNS,Royal Challengers Bangalore,134/9,Mumbai Indians,191/4
2010,,"MATCH 51
HPCA Stadium, Dharamsala
APR, FRI 16 , 8:00 pm IST",,DECCAN CHARGERS WON BY 5 WICKETS,Punjab Kings,174/3,Deccan Chargers,178/5
2010,,"MATCH 50
M. A. Chidambaram Stadium, Chennai
APR, THU 15 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Chennai Super Kings,112/9,Delhi Daredevils,113/4
2010,,"MATCH 49
Sawai Mansingh Stadium, Jaipur
APR, WED 14 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Rajasthan Royals,130/6,Royal Challengers Bangalore,132/5
2010,,"MATCH 48
M. A. Chidambaram Stadium, Chennai
APR, TUE 13 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 9 WICKETS,Chennai Super Kings,143/1,Kolkata Knight Riders,139/8
2010,,"MATCH 47
Brabourne Stadium, Mumbai
APR, TUE 13 , 4:00 pm IST",,MUMBAI INDIANS WON BY 39 RUNS,Mumbai Indians,183/4,Delhi Daredevils,144/7
2010,,"MATCH 46
Vidarbha Cricket Association Stadium, Nagpur
APR, MON 12 , 8:00 pm IST",,DECCAN CHARGERS WON BY 13 RUNS,Deccan Chargers,151/6,Royal Challengers Bangalore,138
2010,,"MATCH 45
Sawai Mansingh Stadium, Jaipur
APR, SUN 11 , 8:00 pm IST",,MUMBAI INDIANS WON BY 37 RUNS,Rajasthan Royals,137/8,Mumbai Indians,174/5
