year,stage,venue,date_time,summary,team1,score1,team2,score2
2022,,"MATCH 59
Wankhede Stadium, Mumbai
MAY, THU 12 , 7:30 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Chennai Super Kings,97,Mumbai Indians,103/5
2022,,"MATCH 58
DY Patil Stadium, NAVI MUMBAI
MAY, WED 11 , 7:30 pm IST",,DELHI CAPITALS WON BY 8 WICKETS,Rajasthan Royals,160/6,Delhi Capitals,161/2
2022,,"MATCH 57
Maharashtra Cricket Association Stadium, Pune
MAY, TUE 10 , 7:30 pm IST",,GUJARAT TITANS WON BY 62 RUNS,Lucknow Super Giants,82,Gujarat Titans,144/4
2022,,"MATCH 56
DY Patil Stadium, NAVI MUMBAI
MAY, MON 9 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 52 RUNS,Mumbai Indians,113,Kolkata Knight Riders,165/9
2022,,"MATCH 55
DY Patil Stadium, NAVI MUMBAI
MAY, SUN 8 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 91 RUNS,Chennai Super Kings,208/6,Delhi Capitals,117
2022,,"MATCH 54
Wankhede Stadium, Mumbai
MAY, SUN 8 , 3:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 67 RUNS,Sunrisers Hyderabad,125,Royal Challengers Bangalore,192/3
2022,,"MATCH 53
Maharashtra Cricket Association Stadium, Pune
MAY, SAT 7 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 75 RUNS,Lucknow Super Giants,176/7,Kolkata Knight Riders,101
2022,,"MATCH 52
Wankhede Stadium, Mumbai
MAY, SAT 7 , 3:30 pm IST",,RAJASTHAN ROYALS WON BY 6 WICKETS,Punjab Kings,189/5,Rajasthan Royals,190/4
2022,,"MATCH 51
Brabourne - CCI, Mumbai
MAY, FRI 6 , 7:30 pm IST",,MUMBAI INDIANS WON BY 5 RUNS,Gujarat Titans,172/5,Mumbai Indians,177/6
2022,,"MATCH 50
Brabourne - CCI, Mumbai
MAY, THU 5 , 7:30 pm IST",,DELHI CAPITALS WON BY 21 RUNS,Delhi Capitals,207/3,Sunrisers Hyderabad,186/8
2022,,"MATCH 49
Maharashtra Cricket Association Stadium, Pune
MAY, WED 4 , 7:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 13 RUNS,Royal Challengers Bangalore,173/8,Chennai Super Kings,160/8
2022,,"MATCH 48
DY Patil Stadium, NAVI MUMBAI
MAY, TUE 3 , 7:30 pm IST",,PUNJAB KINGS WON BY 8 WICKETS,Gujarat Titans,143/8,Punjab Kings,145/2
2022,,"MATCH 47
Wankhede Stadium, Mumbai
MAY, MON 2 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Kolkata Knight Riders,158/3,Rajasthan Royals,152/5
2022,,"MATCH 46
Maharashtra Cricket Association Stadium, Pune
MAY, SUN 1 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 13 RUNS,Sunrisers Hyderabad,189/6,Chennai Super Kings,202/2
2022,,"MATCH 45
Wankhede Stadium, Mumbai
MAY, SUN 1 , 3:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 6 RUNS,Delhi Capitals,189/7,Lucknow Super Giants,195/3
2022,,"MATCH 44
DY Patil Stadium, NAVI MUMBAI
APR, SAT 30 , 7:30 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Rajasthan Royals,158/6,Mumbai Indians,161/5
2022,,"MATCH 43
Brabourne - CCI, Mumbai
APR, SAT 30 , 3:30 pm IST",,GUJARAT TITANS WON BY 6 WICKETS,Gujarat Titans,174/4,Royal Challengers Bangalore,170/6
2022,,"MATCH 42
Maharashtra Cricket Association Stadium, Pune
APR, FRI 29 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 20 RUNS,Punjab Kings,133/8,Lucknow Super Giants,153/8
2022,,"MATCH 41
Wankhede Stadium, Mumbai
APR, THU 28 , 7:30 pm IST",,DELHI CAPITALS WON BY 4 WICKETS,Delhi Capitals,150/6,Kolkata Knight Riders,146/9
2022,,"MATCH 40
Wankhede Stadium, Mumbai
APR, WED 27 , 7:30 pm IST",,GUJARAT TITANS WON BY 5 WICKETS,Gujarat Titans,199/5,Sunrisers Hyderabad,195/6
2022,,"MATCH 39
Maharashtra Cricket Association Stadium, Pune
APR, TUE 26 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 29 RUNS,Royal Challengers Bangalore,115,Rajasthan Royals,144/8
2022,,"MATCH 38
Wankhede Stadium, Mumbai
APR, MON 25 , 7:30 pm IST",,PUNJAB KINGS WON BY 11 RUNS,Punjab Kings,187/4,Chennai Super Kings,176/6
2022,,"MATCH 37
Wankhede Stadium, Mumbai
APR, SUN 24 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 36 RUNS,Lucknow Super Giants,168/6,Mumbai Indians,132/8
2022,,"MATCH 36
Brabourne - CCI, Mumbai
APR, SAT 23 , 7:30 pm IST",,SUNRISERS HYDERABAD WON BY 9 WICKETS,Royal Challengers Bangalore,68,Sunrisers Hyderabad,72/1
2022,,"MATCH 35
DY Patil Stadium, NAVI MUMBAI
APR, SAT 23 , 3:30 pm IST",,GUJARAT TITANS WON BY 8 RUNS,Kolkata Knight Riders,148/8,Gujarat Titans,156/9
2022,,"MATCH 34
Wankhede Stadium, Mumbai
APR, FRI 22 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 15 RUNS,Delhi Capitals,207/8,Rajasthan Royals,222/2
2022,,"MATCH 33
DY Patil Stadium, NAVI MUMBAI
APR, THU 21 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 3 WICKETS,Mumbai Indians,155/7,Chennai Super Kings,156/7
2022,,"MATCH 32
Brabourne - CCI, Mumbai
APR, WED 20 , 7:30 pm IST",,DELHI CAPITALS WON BY 9 WICKETS,Delhi Capitals,119/1,Punjab Kings,115
2022,,"MATCH 31
DY Patil Stadium, NAVI MUMBAI
APR, TUE 19 , 7:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 18 RUNS,Lucknow Super Giants,163/8,Royal Challengers Bangalore,181/6
2022,,"MATCH 30
Brabourne - CCI, Mumbai
APR, MON 18 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 7 RUNS,Rajasthan Royals,217/5,Kolkata Knight Riders,210
2022,,"MATCH 29
Maharashtra Cricket Association Stadium, Pune
APR, SUN 17 , 7:30 pm IST",,GUJARAT TITANS WON BY 3 WICKETS,Gujarat Titans,170/7,Chennai Super Kings,169/5
2022,,"MATCH 28
DY Patil Stadium, NAVI MUMBAI
APR, SUN 17 , 3:30 pm IST",,SUNRISERS HYDERABAD WON BY 7 WICKETS,Punjab Kings,151,Sunrisers Hyderabad,152/3
2022,,"MATCH 27
Wankhede Stadium, Mumbai
APR, SAT 16 , 7:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 16 RUNS,Delhi Capitals,173/7,Royal Challengers Bangalore,189/5
2022,,"MATCH 26
Brabourne - CCI, Mumbai
APR, SAT 16 , 3:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 18 RUNS,Mumbai Indians,181/9,Lucknow Super Giants,199/4
2022,,"MATCH 25
Brabourne - CCI, Mumbai
APR, FRI 15 , 7:30 pm IST",,SUNRISERS HYDERABAD WON BY 7 WICKETS,Sunrisers Hyderabad,176/3,Kolkata Knight Riders,175/8
2022,,"MATCH 24
DY Patil Stadium, NAVI MUMBAI
APR, THU 14 , 7:30 pm IST",,GUJARAT TITANS WON BY 37 RUNS,Rajasthan Royals,155/9,Gujarat Titans,192/4
2022,,"MATCH 23
Maharashtra Cricket Association Stadium, Pune
APR, WED 13 , 7:30 pm IST",,PUNJAB KINGS WON BY 12 RUNS,Mumbai Indians,186/9,Punjab Kings,198/5
2022,,"MATCH 22
DY Patil Stadium, NAVI MUMBAI
APR, TUE 12 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 23 RUNS,Chennai Super Kings,216/4,Royal Challengers Bangalore,193/9
2022,,"MATCH 21
DY Patil Stadium, NAVI MUMBAI
APR, MON 11 , 7:30 pm IST",,SUNRISERS HYDERABAD WON BY 8 WICKETS,Sunrisers Hyderabad,168/2,Gujarat Titans,162/7
2022,,"MATCH 20
Wankhede Stadium, Mumbai
APR, SUN 10 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 3 RUNS,Rajasthan Royals,165/6,Lucknow Super Giants,162/8
2022,,"MATCH 19
Brabourne - CCI, Mumbai
APR, SUN 10 , 3:30 pm IST",,DELHI CAPITALS WON BY 44 RUNS,Kolkata Knight Riders,171,Delhi Capitals,215/5
2022,,"MATCH 18
Maharashtra Cricket Association Stadium, Pune
APR, SAT 9 , 7:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,152/3,Mumbai Indians,151/6
2022,,"MATCH 17
DY Patil Stadium, NAVI MUMBAI
APR, SAT 9 , 3:30 pm IST",,SUNRISERS HYDERABAD WON BY 8 WICKETS,Chennai Super Kings,154/7,Sunrisers Hyderabad,155/2
2022,,"MATCH 16
Brabourne - CCI, Mumbai
APR, FRI 8 , 7:30 pm IST",,GUJARAT TITANS WON BY 6 WICKETS,Punjab Kings,189/9,Gujarat Titans,190/4
2022,,"MATCH 15
DY Patil Stadium, NAVI MUMBAI
APR, THU 7 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 6 WICKETS,Lucknow Super Giants,155/4,Delhi Capitals,149/3
2022,,"MATCH 14
Maharashtra Cricket Association Stadium, Pune
APR, WED 6 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders,162/5,Mumbai Indians,161/4
2022,,"MATCH 13
Wankhede Stadium, Mumbai
APR, TUE 5 , 7:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 4 WICKETS,Rajasthan Royals,169/3,Royal Challengers Bangalore,173/6
2022,,"MATCH 12
DY Patil Stadium, NAVI MUMBAI
APR, MON 4 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 12 RUNS,Sunrisers Hyderabad,157/9,Lucknow Super Giants,169/7
2022,,"MATCH 11
Brabourne - CCI, Mumbai
APR, SUN 3 , 7:30 pm IST",,PUNJAB KINGS WON BY 54 RUNS,Chennai Super Kings,126,Punjab Kings,180/8
2022,,"MATCH 10
Maharashtra Cricket Association Stadium, Pune
APR, SAT 2 , 7:30 pm IST",,GUJARAT TITANS WON BY 14 RUNS,Gujarat Titans,171/6,Delhi Capitals,157/9
2022,,"MATCH 9
DY Patil Stadium, NAVI MUMBAI
APR, SAT 2 , 3:30 pm IST",,RAJASTHAN ROYALS WON BY 23 RUNS,Mumbai Indians,170/8,Rajasthan Royals,193/8
2022,,"MATCH 8
Wankhede Stadium, Mumbai
APR, FRI 1 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders,141/4,Punjab Kings,137
2022,,"MATCH 7
Brabourne - CCI, Mumbai
MAR, THU 31 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 6 WICKETS,Lucknow Super Giants,211/4,Chennai Super Kings,210/7
2022,,"MATCH 6
DY Patil Stadium, NAVI MUMBAI
MAR, WED 30 , 7:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 3 WICKETS,Royal Challengers Bangalore,132/7,Kolkata Knight Riders,128
2022,,"MATCH 5
Maharashtra Cricket Association Stadium, Pune
MAR, TUE 29 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 61 RUNS,Sunrisers Hyderabad,149/7,Rajasthan Royals,210/6
2022,,"MATCH 4
Wankhede Stadium, Mumbai
MAR, MON 28 , 7:30 pm IST",,GUJARAT TITANS WON BY 5 WICKETS,Gujarat Titans,161/5,Lucknow Super Giants,158/6
2022,,"MATCH 3
DY Patil Stadium, NAVI MUMBAI
MAR, SUN 27 , 7:30 pm IST",,PUNJAB KINGS WON BY 5 WICKETS,Royal Challengers Bangalore,205/2,Punjab Kings,208/5
2022,,"MATCH 2
Brabourne - CCI, Mumbai
MAR, SUN 27 , 3:30 pm IST",,DELHI CAPITALS WON BY 4 WICKETS,Delhi Capitals,179/6,Mumbai Indians,177/5
2022,,"MATCH 1
Wankhede Stadium, Mumbai
MAR, SAT 26 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Chennai Super Kings,131/5,Kolkata Knight Riders,133/4
2023,,"FINAL
Narendra Modi Stadium, Ahmedabad
MAY, MON 29 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS (D/L METHOD) (WINNERS),Chennai Super Kings,171/5,Gujarat Titans,214/4
2023,,"QUALIFIER 2
Narendra Modi Stadium, Ahmedabad
MAY, FRI 26 , 7:30 pm IST",,GUJARAT TITANS WON BY 62 RUNS (QUALIFIED),Gujarat Titans,233/3,Mumbai Indians,171
2023,,"ELIMINATOR
MA Chidambaram Stadium, Chennai
MAY, WED 24 , 7:30 pm IST",,MUMBAI INDIANS WON BY 81 RUNS (QUALIFIED),Lucknow Super Giants,101,Mumbai Indians,182/8
2023,,"QUALIFIER 1
MA Chidambaram Stadium, Chennai
MAY, TUE 23 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 15 RUNS (QUALIFIED),Gujarat Titans,157,Chennai Super Kings,172/7
2023,,"MATCH 70
M Chinnaswamy Stadium, Bengaluru
MAY, SUN 21 , 7:30 pm IST",,GUJARAT TITANS WON BY 6 WICKETS,Royal Challengers Bengaluru,197/5,Gujarat Titans,198/4
2023,,"MATCH 69
Wankhede Stadium, Mumbai
MAY, SUN 21 , 3:30 pm IST",,MUMBAI INDIANS WON BY 8 WICKETS,Mumbai Indians,201/2,Sunrisers Hyderabad,200/5
2023,,"MATCH 68
Eden Gardens, Kolkata
MAY, SAT 20 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 1 RUN,Kolkata Knight Riders,175/7,Lucknow Super Giants,176/8
2023,,"MATCH 67
Arun Jaitley Stadium, Delhi
MAY, SAT 20 , 3:30 pm IST",,CHENNAI SUPER KINGS WON BY 77 RUNS,Delhi Capitals,146/9,Chennai Super Kings,223/3
2023,,"MATCH 66
Himachal Pradesh Cricket Association Stadium, Dharamshala
MAY, FRI 19 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 4 WICKETS,Punjab Kings,187/5,Rajasthan Royals,189/6
2023,,"MATCH 65
Rajiv Gandhi International Stadium, Hyderabad
MAY, THU 18 , 7:30 pm IST",,ROYAL CHALLENGERS BENGALURU WON BY 8 WICKETS,Sunrisers Hyderabad,186/5,Royal Challengers Bengaluru,187/2
2023,,"MATCH 64
Himachal Pradesh Cricket Association Stadium, Dharamshala
MAY, WED 17 , 7:30 pm IST",,DELHI CAPITALS WON BY 15 RUNS,Punjab Kings,198/8,Delhi Capitals,213/2
2023,,"MATCH 63
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
MAY, TUE 16 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 5 RUNS,Lucknow Super Giants,177/3,Mumbai Indians,172/5
2023,,"MATCH 62
Narendra Modi Stadium, Ahmedabad
MAY, MON 15 , 7:30 pm IST",,GUJARAT TITANS WON BY 34 RUNS,Gujarat Titans,188/9,Sunrisers Hyderabad,154/9
2023,,"MATCH 61
MA Chidambaram Stadium, Chennai
MAY, SUN 14 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Chennai Super Kings,144/6,Kolkata Knight Riders,147/4
2023,,"MATCH 60
Sawai Mansingh Stadium, Jaipur
MAY, SUN 14 , 3:30 pm IST",,ROYAL CHALLENGERS BENGALURU WON BY 112 RUNS,Rajasthan Royals,59,Royal Challengers Bengaluru,171/5
2023,,"MATCH 59
Arun Jaitley Stadium, Delhi
MAY, SAT 13 , 7:30 pm IST",,PUNJAB KINGS WON BY 31 RUNS,Delhi Capitals,136/8,Punjab Kings,167/7
2023,,"MATCH 58
Rajiv Gandhi International Stadium, Hyderabad
MAY, SAT 13 , 3:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 7 WICKETS,Sunrisers Hyderabad,182/6,Lucknow Super Giants,185/3
2023,,"MATCH 57
Wankhede Stadium, Mumbai
MAY, FRI 12 , 7:30 pm IST",,MUMBAI INDIANS WON BY 27 RUNS,Mumbai Indians,218/5,Gujarat Titans,191/8
2023,,"MATCH 56
Eden Gardens, Kolkata
MAY, THU 11 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 9 WICKETS,Kolkata Knight Riders,149/8,Rajasthan Royals,151/1
2023,,"MATCH 55
MA Chidambaram Stadium, Chennai
MAY, WED 10 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 27 RUNS,Chennai Super Kings,167/8,Delhi Capitals,140/8
2023,,"MATCH 54
Wankhede Stadium, Mumbai
MAY, TUE 9 , 7:30 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Mumbai Indians,200/4,Royal Challengers Bengaluru,199/6
2023,,"MATCH 53
Eden Gardens, Kolkata
MAY, MON 8 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders,182/5,Punjab Kings,179/7
2023,,"MATCH 52
Sawai Mansingh Stadium, Jaipur
MAY, SUN 7 , 7:30 pm IST",,SUNRISERS HYDERABAD WON BY 4 WICKETS,Rajasthan Royals,214/2,Sunrisers Hyderabad,217/6
2023,,"MATCH 51
Narendra Modi Stadium, Ahmedabad
MAY, SUN 7 , 3:30 pm IST",,GUJARAT TITANS WON BY 56 RUNS,Gujarat Titans,227/2,Lucknow Super Giants,171/7
2023,,"MATCH 50
Arun Jaitley Stadium, Delhi
MAY, SAT 6 , 7:30 pm IST",,DELHI CAPITALS WON BY 7 WICKETS,Delhi Capitals,187/3,Royal Challengers Bengaluru,181/4
2023,,"MATCH 49
MA Chidambaram Stadium, Chennai
MAY, SAT 6 , 3:30 pm IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Chennai Super Kings,140/4,Mumbai Indians,139/8
2023,,"MATCH 48
Sawai Mansingh Stadium, Jaipur
MAY, FRI 5 , 7:30 pm IST",,GUJARAT TITANS WON BY 9 WICKETS,Rajasthan Royals,118,Gujarat Titans,119/1
2023,,"MATCH 47
Rajiv Gandhi International Stadium, Hyderabad
MAY, THU 4 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 RUNS,Sunrisers Hyderabad,166/8,Kolkata Knight Riders,171/9
2023,,"MATCH 46
Punjab Cricket Association IS Bindra Stadium, Mohali
MAY, WED 3 , 7:30 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Punjab Kings,214/3,Mumbai Indians,216/4
2023,,"MATCH 45
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
MAY, WED 3 , 3:30 pm IST",,NO RESULT,Lucknow Super Giants,125/7,Chennai Super Kings,
2023,,"MATCH 44
Narendra Modi Stadium, Ahmedabad
MAY, TUE 2 , 7:30 pm IST",,DELHI CAPITALS WON BY 5 RUNS,Gujarat Titans,125/6,Delhi Capitals,130/8
2023,,"MATCH 43
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
MAY, MON 1 , 7:30 pm IST",,ROYAL CHALLENGERS BENGALURU WON BY 18 RUNS,Lucknow Super Giants,108,Royal Challengers Bengaluru,126/9
2023,,"MATCH 42
Wankhede Stadium, Mumbai
APR, SUN 30 , 7:30 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Mumbai Indians,214/4,Rajasthan Royals,212/7
2023,,"MATCH 41
MA Chidambaram Stadium, Chennai
APR, SUN 30 , 3:30 pm IST",,PUNJAB KINGS WON BY 4 WICKETS,Chennai Super Kings,200/4,Punjab Kings,201/6
2023,,"MATCH 40
Arun Jaitley Stadium, Delhi
APR, SAT 29 , 7:30 pm IST",,SUNRISERS HYDERABAD WON BY 9 RUNS,Delhi Capitals,188/6,Sunrisers Hyderabad,197/6
2023,,"MATCH 39
Eden Gardens, Kolkata
APR, SAT 29 , 3:30 pm IST",,GUJARAT TITANS WON BY 7 WICKETS,Kolkata Knight Riders,179/7,Gujarat Titans,180/3
2023,,"MATCH 38
Punjab Cricket Association IS Bindra Stadium, Mohali
APR, FRI 28 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 56 RUNS,Punjab Kings,201,Lucknow Super Giants,257/5
2023,,"MATCH 37
Sawai Mansingh Stadium, Jaipur
APR, THU 27 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 32 RUNS,Rajasthan Royals,202/5,Chennai Super Kings,170/6
2023,,"MATCH 36
M Chinnaswamy Stadium, Bengaluru
APR, WED 26 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 21 RUNS,Royal Challengers Bengaluru,179/8,Kolkata Knight Riders,200/5
2023,,"MATCH 35
Narendra Modi Stadium, Ahmedabad
APR, TUE 25 , 7:30 pm IST",,GUJARAT TITANS WON BY 55 RUNS,Gujarat Titans,207/6,Mumbai Indians,152/9
2023,,"MATCH 34
Rajiv Gandhi International Stadium, Hyderabad
APR, MON 24 , 7:30 pm IST",,DELHI CAPITALS WON BY 7 RUNS,Sunrisers Hyderabad,137/6,Delhi Capitals,144/9
2023,,"MATCH 33
Eden Gardens, Kolkata
APR, SUN 23 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 49 RUNS,Kolkata Knight Riders,186/8,Chennai Super Kings,235/4
2023,,"MATCH 32
M Chinnaswamy Stadium, Bengaluru
APR, SUN 23 , 3:30 pm IST",,ROYAL CHALLENGERS BENGALURU WON BY 7 RUNS,Royal Challengers Bengaluru,189/9,Rajasthan Royals,182/6
2023,,"MATCH 31
Wankhede Stadium, Mumbai
APR, SAT 22 , 7:30 pm IST",,PUNJAB KINGS WON BY 13 RUNS,Mumbai Indians,201/6,Punjab Kings,214/8
2023,,"MATCH 30
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
APR, SAT 22 , 3:30 pm IST",,GUJARAT TITANS WON BY 7 RUNS,Lucknow Super Giants,128/7,Gujarat Titans,135/6
2023,,"MATCH 29
MA Chidambaram Stadium, Chennai
APR, FRI 21 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings,138/3,Sunrisers Hyderabad,134/7
2023,,"MATCH 28
Arun Jaitley Stadium, Delhi
APR, THU 20 , 7:30 pm IST",,DELHI CAPITALS WON BY 4 WICKETS,Delhi Capitals,128/6,Kolkata Knight Riders,127
2023,,"MATCH 27
Punjab Cricket Association IS Bindra Stadium, Mohali
APR, THU 20 , 3:30 pm IST",,ROYAL CHALLENGERS BENGALURU WON BY 24 RUNS,Punjab Kings,150,Royal Challengers Bengaluru,174/4
2023,,"MATCH 26
Sawai Mansingh Stadium, Jaipur
APR, WED 19 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 10 RUNS,Rajasthan Royals,144/6,Lucknow Super Giants,154/7
2023,,"MATCH 25
Rajiv Gandhi International Stadium, Hyderabad
APR, TUE 18 , 7:30 pm IST",,MUMBAI INDIANS WON BY 14 RUNS,Sunrisers Hyderabad,178,Mumbai Indians,192/5
2023,,"MATCH 24
M Chinnaswamy Stadium, Bengaluru
APR, MON 17 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 8 RUNS,Royal Challengers Bengaluru,218/8,Chennai Super Kings,226/6
2023,,"MATCH 23
Narendra Modi Stadium, Ahmedabad
APR, SUN 16 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 3 WICKETS,Gujarat Titans,177/7,Rajasthan Royals,179/7
2023,,"MATCH 22
Wankhede Stadium, Mumbai
APR, SUN 16 , 3:30 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,186/5,Kolkata Knight Riders,185/6
2023,,"MATCH 21
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
APR, SAT 15 , 7:30 pm IST",,PUNJAB KINGS WON BY 2 WICKETS,Lucknow Super Giants,159/8,Punjab Kings,161/8
2023,,"MATCH 20
M Chinnaswamy Stadium, Bengaluru
APR, SAT 15 , 3:30 pm IST",,ROYAL CHALLENGERS BENGALURU WON BY 23 RUNS,Royal Challengers Bengaluru,174/6,Delhi Capitals,151/9
2023,,"MATCH 19
Eden Gardens, Kolkata
APR, FRI 14 , 7:30 pm IST",,SUNRISERS HYDERABAD WON BY 23 RUNS,Kolkata Knight Riders,205/7,Sunrisers Hyderabad,228/4
2023,,"MATCH 18
Punjab Cricket Association IS Bindra Stadium, Mohali
APR, THU 13 , 7:30 pm IST",,GUJARAT TITANS WON BY 6 WICKETS,Punjab Kings,153/8,Gujarat Titans,154/4
2023,,"MATCH 17
MA Chidambaram Stadium, Chennai
APR, WED 12 , 7:30 pm IST",,RAJASTHAN ROYALS WON BY 3 RUNS,Chennai Super Kings,172/6,Rajasthan Royals,175/8
2023,,"MATCH 16
Arun Jaitley Stadium, Delhi
APR, TUE 11 , 7:30 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Delhi Capitals,172,Mumbai Indians,173/4
2023,,"MATCH 15
M Chinnaswamy Stadium, Bengaluru
APR, MON 10 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 1 WICKET,Royal Challengers Bengaluru,212/2,Lucknow Super Giants,213/9
2023,,"MATCH 14
Rajiv Gandhi International Stadium, Hyderabad
APR, SUN 9 , 7:30 pm IST",,SUNRISERS HYDERABAD WON BY 8 WICKETS,Sunrisers Hyderabad,145/2,Punjab Kings,143/9
2023,,"MATCH 13
Narendra Modi Stadium, Ahmedabad
APR, SUN 9 , 3:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,Gujarat Titans,204/4,Kolkata Knight Riders,207/7
2023,,"MATCH 12
Wankhede Stadium, Mumbai
APR, SAT 8 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Mumbai Indians,157/8,Chennai Super Kings,159/3
2023,,"MATCH 11
ACA Stadium, Guwahati
APR, SAT 8 , 3:30 pm IST",,RAJASTHAN ROYALS WON BY 57 RUNS,Rajasthan Royals,199/4,Delhi Capitals,142/9
2023,,"MATCH 10
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
APR, FRI 7 , 7:30 pm IST",,LUCKNOW SUPER GIANTS WON BY 5 WICKETS,Lucknow Super Giants,127/5,Sunrisers Hyderabad,121/8
2023,,"MATCH 9
Eden Gardens, Kolkata
APR, THU 6 , 7:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 81 RUNS,Kolkata Knight Riders,204/7,Royal Challengers Bengaluru,123
2023,,"MATCH 8
ACA Stadium, Guwahati
APR, WED 5 , 7:30 pm IST",,PUNJAB KINGS WON BY 5 RUNS,Rajasthan Royals,192/7,Punjab Kings,197/4
2023,,"MATCH 7
Arun Jaitley Stadium, Delhi
APR, TUE 4 , 7:30 pm IST",,GUJARAT TITANS WON BY 6 WICKETS,Delhi Capitals,162/8,Gujarat Titans,163/4
2023,,"MATCH 6
MA Chidambaram Stadium, Chennai
APR, MON 3 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 12 RUNS,Chennai Super Kings,217/7,Lucknow Super Giants,205/7
2023,,"MATCH 5
M Chinnaswamy Stadium, Bengaluru
APR, SUN 2 , 7:30 pm IST",,ROYAL CHALLENGERS BENGALURU WON BY 8 WICKETS,Royal Challengers Bengaluru,172/2,Mumbai Indians,171/7
